DAY,PERIOD,CLASS,SUBJECT,ROOM
Wednesday,5,S1 RESPECT 2,Humanities,Room 204
Wednesday,1,S1 EXCELLENCE 1,Humanities,Room 301
Wednesday,2,S1 EXCELLENCE 1,Mathematics,Room 301
Wednesday,3,S1 EXCELLENCE 1,English Language,Room 301
Wednesday,4,S1 EXCELLENCE 1,Science,Lab 3
Wednesday,5,S1 EXCELLENCE 1,Art,Art Room
Wednesday,1,S1 EXCELLENCE 2,English Language,Room 302
Wednesday,2,S1 EXCELLENCE 2,Mother Tongue,Room 307
Wednesday,3,S1 EXCELLENCE 2,Science,Lab 3
Wednesday,4,S1 EXCELLENCE 2,Humanities,Room 302
Wednesday,5,S1 EXCELLENCE 2,Mathematics,Room 302
Wednesday,1,S1 WISDOM 1,Mother Tongue,Room 308
Wednesday,2,S1 WISDOM 1,Science,Lab 4
Wednesday,3,S1 WISDOM 1,English Language,Room 303
Wednesday,4,S1 WISDOM 1,Art,Art Room
Wednesday,5,S1 WISDOM 1,Mathematics,Room 303
Wednesday,1,S1 WISDOM 2,Mathematics,Room 304
Wednesday,2,S1 WISDOM 2,Humanities,Room 304
Wednesday,3,S1 WISDOM 2,Art,Art Room
Wednesday,4,S1 WISDOM 2,Science,Lab 4
Wednesday,5,S1 WISDOM 2,English Language,Room 304
Thursday,1,S1 HONOUR 1,Mother Tongue,Room 305
Thursday,2,S1 HONOUR 1,Mathematics,Room 201
Thursday,3,S1 HONOUR 1,English Language,Room 201
Thursday,4,S1 HONOUR 1,Humanities,Room 201
Thursday,5,S1 HONOUR 1,Science,Lab 1
Thursday,1,S1 HONOUR 2,Science,Lab 2
Thursday,2,S1 HONOUR 2,Mother Tongue,Room 305
Thursday,3,S1 HONOUR 2,English Language,Room 202
Thursday,4,S1 HONOUR 2,Mathematics,Room 202
Thursday,5,S1 HONOUR 2,Humanities,Room 202
Thursday,1,S1 RESPECT 1,Mathematics,Room 203
Thursday,2,S1 RESPECT 1,Mother Tongue,Room 306
Thursday,3,S1 RESPECT 1,Humanities,Room 203
Thursday,4,S1 RESPECT 1,English Language,Room 203
Thursday,5,S1 RESPECT 1,Science,Lab 1
Thursday,1,S1 RESPECT 2,English Language,Room 204
Thursday,2,S1 RESPECT 2,Science,Lab 2
Thursday,3,S1 RESPECT 2,Mother Tongue,Room 306
Thursday,4,S1 RESPECT 2,Humanities,Room 204
Thursday,5,S1 RESPECT 2,Art,Art Room
Thursday,1,S1 EXCELLENCE 1,Art,Art Room
Thursday,2,S1 EXCELLENCE 1,Science,Lab 3
Thursday,3,S1 EXCELLENCE 1,Mathematics,Room 301
Thursday,4,S1 EXCELLENCE 1,Mother Tongue,Room 307
Thursday,5,S1 EXCELLENCE 1,English Language,Room 301
Thursday,1,S1 EXCELLENCE 2,Humanities,Room 302
Thursday,2,S1 EXCELLENCE 2,English Language,Room 302
Thursday,3,S1 EXCELLENCE 2,Art,Art Room
Thursday,4,S1 EXCELLENCE 2,Science,Lab 3
Thursday,5,S1 EXCELLENCE 2,Mathematics,Room 302
Thursday,1,S1 WISDOM 1,Science,Lab 4
Thursday,2,S1 WISDOM 1,English Language,Room 303
Thursday,3,S1 WISDOM 1,Music,Music Room
Thursday,4,S1 WISDOM 1,Mathematics,Room 303
Thursday,5,S1 WISDOM 1,Mother Tongue,Room 308
Thursday,1,S1 WISDOM 2,English Language,Room 304
Thursday,2,S1 WISDOM 2,Art,Art Room
Thursday,3,S1 WISDOM 2,Science,Lab 4
Thursday,4,S1 WISDOM 2,Mathematics,Room 304
Thursday,5,S1 WISDOM 2,Humanities,Room 304
Friday,1,S1 HONOUR 1,Humanities,Room 201
Friday,2,S1 HONOUR 1,Art,Art Room
Friday,3,S1 HONOUR 1,Mathematics,Room 201
Friday,4,S1 HONOUR 1,Science,Lab 1
Friday,1,S1 HONOUR 2,English Language,Room 202
Friday,2,S1 HONOUR 2,Humanities,Room 202
Friday,3,S1 HONOUR 2,Science,Lab 2
Friday,4,S1 HONOUR 2,Mathematics,Room 202
Friday,1,S1 RESPECT 1,Science,Lab 1
Friday,2,S1 RESPECT 1,English Language,Room 203
Friday,3,S1 RESPECT 1,Mother Tongue,Room 306
Friday,4,S1 RESPECT 1,Humanities,Room 203
Friday,1,S1 RESPECT 2,Mathematics,Room 204
Friday,2,S1 RESPECT 2,Music,Music Room
Friday,3,S1 RESPECT 2,English Language,Room 204
Friday,4,S1 RESPECT 2,Science,Lab 2
Friday,1,S1 EXCELLENCE 1,Mother Tongue,Room 307
Friday,2,S1 EXCELLENCE 1,English Language,Room 301
Friday,3,S1 EXCELLENCE 1,Science,Lab 3
Friday,4,S1 EXCELLENCE 1,Humanities,Room 301
Friday,1,S1 EXCELLENCE 2,Science,Lab 3
Friday,2,S1 EXCELLENCE 2,Mathematics,Room 302
Friday,3,S1 EXCELLENCE 2,Music,Music Room
Friday,4,S1 EXCELLENCE 2,English Language,Room 302
Friday,1,S1 WISDOM 1,English Language,Room 303
Friday,2,S1 WISDOM 1,Humanities,Room 303
Friday,3,S1 WISDOM 1,Mathematics,Room 303
Friday,4,S1 WISDOM 1,Music,Music Room
Friday,1,S1 WISDOM 2,Mother Tongue,Room 309
Friday,2,S1 WISDOM 2,Science,Lab 4
Friday,3,S1 WISDOM 2,English Language,Room 304
Friday,4,S1 WISDOM 2,Mathematics,Room 304
